	biorxiv_doi	published_doi	PMID	PMCID	biorxiv_base	version_count	preprint_category	preprint_date	published_date	time_to_published	days_to_published
1	10.1101/2019.12.19.882274	10.3389/fpls.2020.00355	32373138.0	PMC7176908	2019.12.19.882274	1	plant biology	2019-12-19	2020-04-16	119 days	119
4	10.1101/2020.01.22.914952	10.1038/s41586-020-2012-7	32015507.0	PMC7095418	2020.01.22.914952	2	microbiology	2020-01-23	2020-02-03	11 days	11
5	10.1101/2020.01.22.915660	10.1038/s41564-020-0688-y	32094589.0	PMC7095430	2020.01.22.915660	1	microbiology	2020-01-22	2020-02-24	33 days	33
6	10.1101/2020.01.23.916395	10.1016/j.ijid.2020.01.050	32007643.0	PMC7110798	2020.01.23.916395	2	ecology	2020-01-24	2020-01-30	6 days	6
7	10.1101/2020.01.24.915157	10.1002/jmv.25688	31994738.0	PMC7166400	2020.01.24.915157	1	bioinformatics	2020-01-24	2020-01-29	5 days	5
8	10.1101/2020.01.24.919159	10.3390/jcm9020498	32054124.0	PMC7073840	2020.01.24.919159	1	ecology	2020-01-25	2020-02-11	17 days	17
9	10.1101/2020.01.26.920249	10.1016/j.meegid.2020.104212	32004758.0	PMC7106301	2020.01.26.920249	1	microbiology	2020-01-27	2020-01-29	2 days	2
10	10.1101/2020.01.28.923011	10.1080/22221751.2020.1729069	32065055.0	PMC7048180	2020.01.28.923011	1	microbiology	2020-01-28	2020-02-17	20 days	20
11	10.1101/2020.01.31.928796	10.1093/bioinformatics/btaa145	32108862.0	PMC7112083	2020.01.31.928796	1	bioinformatics	2020-02-02	2020-02-25	23 days	23
12	10.1101/2020.02.02.931162	10.1002/jmv.25700	32027036.0	PMC7166773	2020.02.02.931162	2	bioinformatics	2020-02-04	2020-02-06	2 days	2
13	10.1101/2020.02.03.933226	10.3390/v12030254	32106567.0	PMC7150947	2020.02.03.933226	4	bioinformatics	2020-02-04	2020-02-26	22 days	22
14	10.1101/2020.02.11.944462	10.1126/science.abb2507	32075877.0	PMC7164637	2020.02.11.944462	1	microbiology	2020-02-15	2020-02-19	4 days	4
15	10.1101/2020.02.16.951913	10.1016/j.bbrc.2020.03.044	32199615.0	PMC7156119	2020.02.16.951913	1	immunology	2020-02-21	2020-03-19	27 days	27
16	10.1101/2020.02.17.952903	10.3390/v12040428	32290077.0	PMC7232534	2020.02.17.952903	1	microbiology	2020-02-21	2020-04-10	49 days	49
17	10.1101/2020.02.19.956581	10.1016/j.cell.2020.02.058	32155444.0	PMC7102599	2020.02.19.956581	1	biochemistry	2020-02-20	2020-03-09	18 days	18
18	10.1101/2020.02.27.967760	10.1371/journal.pone.0230295	32298273.0	PMC7161957	2020.02.27.967760	3	genomics	2020-02-27	2020-04-16	49 days	49
19	10.1101/2020.03.02.968388	10.1002/pro.3873	32304108.0	PMC7264519	2020.03.02.968388	1	molecular biology	2020-03-03	2020-04-18	46 days	46
20	10.1101/2020.03.06.977876	10.1016/j.apsb.2020.04.009	32363136.0	PMC7194921	2020.03.06.977876	2	molecular biology	2020-03-07	2020-04-21	45 days	45
21	10.1101/2020.03.09.983064	10.1016/j.jmoldx.2020.03.006	32276051.0	PMC7144851	2020.03.09.983064	2	microbiology	2020-03-12	2020-04-07	26 days	26
22	10.1101/2020.03.09.983247	10.1038/s41422-020-0305-x	32231345.0	PMC7104723	2020.03.09.983247	1	microbiology	2020-03-12	2020-03-30	18 days	18
23	10.1101/2020.03.09.984856	10.1128/AAC.00440-20	32205350.0	PMC7179581	2020.03.09.984856	1	pharmacology and toxicology	2020-03-11	2020-03-19	8 days	8
24	10.1101/2020.03.13.991570	10.1126/science.abb7269	32245784.0	PMC7164391	2020.03.13.991570	1	microbiology	2020-03-14	2020-04-03	20 days	20
25	10.1101/2020.03.15.992818	10.1093/ve/veaa027	32296544.0	PMC7147362	2020.03.15.992818	1	microbiology	2020-03-17	2020-03-25	8 days	8
26	10.1101/2020.03.15.992925	10.3390/jcm9040982	32244779.0	PMC7230814	2020.03.15.992925	1	bioinformatics	2020-03-17	2020-04-01	15 days	15
27	10.1101/2020.03.21.001933	10.1111/eva.12980	32837536.0	PMC7262083	2020.03.21.001933	1	microbiology	2020-03-23	2020-04-15	23 days	23
28	10.1101/2020.03.31.016170	10.7554/eLife.57003	32301705.0	PMC7182430	2020.03.31.016170	1	biochemistry	2020-04-01	2020-04-17	16 days	16
30	10.1101/756064	10.1186/s12864-019-6294-9	31874644.0	PMC6929267	756064	1	bioinformatics	2019-09-05	2019-12-24	110 days	110
31	10.1101/773812	10.1091/mbc.E19-09-0550	31877067.0	PMC7183766	773812	1	biochemistry	2019-09-18	2019-12-26	99 days	99
32	10.1101/782359	10.1371/journal.pone.0223548	32255792.0	PMC7138313	782359	1	physiology	2019-09-25	2020-04-07	195 days	195
33	10.1101/782839	10.1186/s13227-019-0146-1	31867094.0	PMC6907167	782839	1	developmental biology	2019-09-26	2019-12-16	81 days	81
34	10.1101/785691	10.1093/nar/gkaa162	32182360.0	PMC7192604	785691	2	evolutionary biology	2019-09-30	2020-03-03	155 days	155
35	10.1101/796318	10.1038/s41467-020-14381-2	31988290.0	PMC6985126	796318	2	cancer biology	2019-10-08	2020-01-27	111 days	111
37	10.1101/813378	10.3390/cancers12030529	32106526.0	PMC7139599	813378	2	cancer biology	2019-10-22	2020-02-25	126 days	126
39	10.1101/832675	10.1128/mSphere.00796-19	31826974.0	PMC6908425	832675	1	microbiology	2019-11-06	2019-12-10	34 days	34
40	10.1101/838821	10.1534/genetics.119.302994	31980450.0	PMC7054013	838821	1	cell biology	2019-11-12	2020-01-25	74 days	74
