category	half_life_time	half_life_ci_l	half_life_ci_u
animal behavior and cognition	159.0	147.0	175.00000000000003
biochemistry	142.0	136.0	151.0
bioengineering	166.0	154.0	180.00000000000003
bioinformatics	186.00000000000003	181.00000000000003	192.00000000000003
biophysics	146.0	140.0	154.0
cancer biology	183.00000000000003	173.0	193.00000000000003
cell biology	171.0	165.0	176.00000000000003
clinical trials	146.0	111.0	203.0
developmental biology	165.0	160.0	174.00000000000003
ecology	182.00000000000003	172.0	190.00000000000003
epidemiology	188.00000000000003	178.00000000000003	200.0
evolutionary biology	172.0	165.0	179.00000000000003
genetics	175.00000000000003	169.0	181.00000000000003
genomics	190.00000000000003	185.00000000000003	195.0
immunology	160.0	151.0	169.0
microbiology	140.0	137.0	145.0
molecular biology	151.0	143.0	160.0
neuroscience	179.00000000000003	175.00000000000003	183.00000000000003
none	121.0	8.0	288.0
paleontology	190.00000000000003	157.0	229.0
pathology	160.0	132.0	183.00000000000003
pharmacology	157.0	142.0	176.00000000000003
physiology	168.0	149.0	182.00000000000003
plant biology	150.0	143.0	159.0
scientific communication	183.00000000000003	170.0	199.0
scientific communication and education	373.00000000000006	373.00000000000006	398.0
synthetic biology	168.0	157.0	183.00000000000003
systems biology	206.0	195.0	218.0
zoology	135.0	127.0	156.0
