doi_prefix	mem_name
	AACE Corp (American Association of Clinical Endocrinologists)
10.4158	AACE Corp (American Association of Clinical Endocrinologists)
10.26434	American Chemical Society (ACS)
10.1021	American Chemical Society (ACS)
10.29200	American Chemical Society (ACS)
10.25013	Elsevier BV
10.1378	Elsevier BV
10.14219	Elsevier BV
10.1331	Elsevier BV
10.3129	Elsevier BV
10.1016	Elsevier BV
10.2111	Elsevier BV
10.1006	Elsevier BV
10.1367	Elsevier BV
10.1602	Elsevier BV
10.2353	Elsevier BV
10.1529	Elsevier BV
10.7424	Elsevier BV
10.3816	Elsevier BV
10.3921	Elsevier BV
10.1157	Elsevier BV
10.1205	Elsevier BV
10.3182	Elsevier BV
10.4065	Elsevier BV
10.1383	Elsevier BV
10.1067	Elsevier BV
10.1078	Elsevier BV
10.1053	Elsevier BV
10.1580	Elsevier BV
10.1054	Elsevier BV
10.1197	Elsevier BV
10.1240	Elsevier BV
10.2139	Elsevier BV
10.7811	Elsevier BV
10.1533	Elsevier BV
10.1109	Institute of Electrical and Electronics Engineers (IEEE)
10.23919	Institute of Electrical and Electronics Engineers (IEEE)
10.36227	Institute of Electrical and Electronics Engineers (IEEE)
10.15325	Institute of Electrical and Electronics Engineers (IEEE)
10.21629	Institute of Electrical and Electronics Engineers (IEEE)
10.31111	Komarov Botanical Institute of the Russian Academy of Sciences
10.31113	STIA Lan Bandung
10.50505	Test accounts
10.88888	Test accounts
10.5555	Test accounts
10.5950	University of Chicago Press
10.1086	University of Chicago Press
10.7208	University of Chicago Press
10.33411	50Sea
10.35885	A.N.Severtsov Institute of Ecology and Evolution RAS  - IEE RAS
10.33931	Abant Izzet Baysal Universitesi Ilahiyat Fakultesi Dergisi
10.33393	Aboutscience Srl
10.36937	ACA Publishing
10.35564	Academia Europea de Direccion y Economia de la Empresa
10.33605	Academic Association of Management  and Administration - AVADA
10.34190	Academic Conferences and Publishing International - ACPIL
10.33793	Academic Perspective
10.32476	Academic Research Centre
10.32861	Academic Research Publishing Group
10.37609	Academician Publishing
10.17986	Academician Publishing
10.31519	Academus Publishing
10.31805	Academy Journal of Educational Sciences
10.37405	Academy of Economic Sciences of Ukraine
10.32675	Academy of Social Enterprise
10.32755	Academy Of The State Penitentiary Servise
10.18257	ACCEFYN - Academia Colombiana de Ciencias Exactas, Fisicas y Naturales
10.33923	Acta Materialia Transylvanica
10.33924	Acta Materialia Transylvanica
10.30565	Acta Medica Alanya
10.32607	Acta Naturae Ltd
10.37689	Acta Paulista de Enfermagem
10.31679	Adam Akademi Sosyal Bilimler Dergisi
10.36099	Addaiyan International Publishers
10.46347	Adichunchanagiri Institute of Medical Sciences
10.30569	Adiyaman Universitesi Saglik Bilimleri Dergisi
10.37094	Adiyaman University
10.32579	Adiyaman University - Mecuma
10.46237	Adnan Menderes Universitesi Saglik Bilimleri Fakultesi Dergisi
10.30803	Adnan Menderes Universitesi Sosyal Bilimler Enstitusu Dergisi
10.34048	Advanced Computing and Communications Society - ACCS
10.30519	Advances in Hospitality and Tourism Research
10.31197	Advances in the Theory of Nonlinear Analysis and its Application
10.35341	Afet ve Risk Dergisi
10.46222	AFRICAJOURNALS
10.33722	Afro Eurasian Studies
10.33707	Afyon Kocatepe Universitesi Iktisadi ve Idari Bilimler Fakultesi Dergisi
10.32709	Afyon Kocatepe Universitesi Sosyal Bilimler Dergisi
10.36331	Agencia De Regulacion y Control Fito y Zoosanitario
10.32634	Agrarian Science
10.31463	Agri Ibrahim Cecen Universitesi Sosyal Bilimler Enstitusu Dergisi
10.46332	Ahi Evran Medical Journal, Kirsehir Ahi Evran University
10.31592	Ahi Evran Universitesi Sosyal Bilimler Enstitusu Dergisi
10.38151	Ahmet Kelesoglu Egitim Fakultesi Dergisi
10.35400	AIA Standards and Quality
10.25209	Ailamazyan Program Systems Institute of Russian Academy of Sciences (PSI RAS)
10.1063	AIP Publishing
10.1556	Akademiai Kiado Zrt.
10.34083	Akademik Dil ve Edebiyat Dergisi
10.31455	Akademik Sosyal Arastirmalar Dergisi (Asya Studies)
10.33708	Akdeniz Kadin Calismalari ve Toplumsal Cinsiyet Dergisi
10.31123	Akdeniz Universitesi Iletisim Fakultesi Dergisi
10.37095	Akdeniz University
10.31126	Akra Kultur Sanat ve Edebiyat Dergisi
10.38122	Aksaray University Journal of Institute of Social Sciences
10.14260	Akshantala Enterprises Private Limited
10.15544	Aleksandras Stulginskis University
10.33667	Alfmed LLC
10.30913	Alinteri Sosyal Bilimler Dergisi
10.3103	Allerton Press
10.14258	Altai State University
10.36740	ALUNA
10.33611	AMED iD3 Catalyst Unit
10.2308	American Accounting Association
10.34133	American Association for the Advancement of Science (AAAS)
10.1126	American Association for the Advancement of Science (AAAS)
10.3847	American Astronomical Society
10.3322	American Cancer Society
10.26434	American Chemical Society (ACS)
10.1021	American Chemical Society (ACS)
10.29200	American Chemical Society (ACS)
10.2344	American Dental Society of Anesthesiology (ADSA)
10.1029	American Geophysical Union (AGU)
10.2514	American Institute of Aeronautics and Astronautics (AIAA)
10.30756	American Interventional Headache Society Annals of Headache Medicine
10.21019	American Pharmacists Association
10.1103	American Physical Society (APS)
10.29172	American Physical Society (APS)
10.1152	American Physiological Society
10.34237	American Shore and Beach Preservation Association
10.1074	American Society for Biochemistry & Molecular Biology (ASBMB)
10.1194	American Society for Biochemistry & Molecular Biology (ASBMB)
10.1187	American Society for Cell Biology (ASCB)
10.1091	American Society for Cell Biology (ASCB)
10.1172	American Society for Clinical Investigation
10.1128	American Society for Microbiology
10.1124	American Society for Pharmacology & Experimental Therapeutics (ASPET)
10.1182	American Society of Hematology
10.1681	American Society of Nephrology (ASN)
10.2215	American Society of Nephrology (ASN)
10.34067	American Society of Nephrology (ASN)
10.3174	American Society of Neuroradiology (ASNR)
10.1645	American Society of Parasitologists
10.1104	American Society of Plant Biologists (ASPB)
10.1105	American Society of Plant Biologists (ASPB)
10.46678	American Society of Plant Biologists (ASPB)
10.1044	American Speech Language Hearing Association
10.46292	American Spinal Injury Association
10.1513	American Thoracic Society
10.1164	American Thoracic Society
10.1165	American Thoracic Society
10.34197	American Thoracic Society
10.33263	AMG Transcend Association
10.32464	Amp Complect Limited
10.38053	Anadolu Guncel Tip Dergisi
10.35346	Anadolu Ogretmen Dergisi
10.34056	Anadolu Universitesi Egitim Fakultesi Dergisi
10.32953	Anadolu ve Balkan Arastirmalari Dergisi
10.33404	ANASAY
10.30616	Anatolian Journal of Botany
10.33218	Andover House Inc
10.36629	Angarsk State Technical University
10.32450	Ankara Avrupa Calismalari Dergisi
10.30915	Ankara Barosu Dergisi
10.34246	Ankara Haci Bayram Veli Universitesi Hukuk Fakultesi Dergisi
10.33483	Ankara Universitesi Eczacilik Fakultesi Dergisi
10.30964	Ankara Universitesi Egitim Bilimleri Fakultesi Dergisi
10.33629	Ankara Universitesi Hukuk Fakultesi Dergisi
10.33227	Ankara Universitesi Ilahiyat Fakultesi Dergisi
10.24955	Ankara Universitesi ilef Dergisi
10.33630	Ankara Universitesi Siyasal Bilgiler Fakultesi
10.16931	Annals of Surgical Hepatology
10.37748	ANO -Perspective of Oncology
10.32962	ANO Editorial Board Melioration and Water Management
10.7784	ANPTUR - Associacao Nacional de Pesquisa e Pos Graducao em Turismo
10.31018	ANSF Publications
10.15184	Antiquity Publications
10.33613	Antropoloji
10.22459	ANU Press
10.4102	AOSIS
10.7139	AOTA Press
10.5014	AOTA Press
10.32998	AOTA Press
10.7140	AOTA Press
10.7145	AOTA Press
10.7138	AOTA Press
10.32881	Aperio Press
10.31528	APUB Co. Ltd
10.31528	APUB Publishing
10.30963	Arachnologische Mitteilungen
10.26716	Armacost Library
10.31065	Art History Association of Korea
10.34247	Artuklu Akademi
