doi_prefix	mem_name
10.31762	ASEAN Heart Journal
10.37353	Asia-Europe Institute, University Of Malaya
10.31203	Asia-Europe Perspective Association
10.30852	Asia-Pacific Network for Global Change Research
10.37221	Asian Agricultural and Biological Engineering Association
10.5713	Asian Australasian Association of Animal Production Societies
10.34252	Asian Cultural Studies Research Institute
10.32948	Asian Medical Press Limited
10.31616	Asian Spine Journal (ASJ)
10.31399	ASM International
10.1115	ASME International
10.30944	Asociacion Colombiana de Cirugia
10.22516	Asociacion Colombiana de Gastroenterologia
10.22354	Asociacion Colombiana de Infectologia - ACIN
10.28957	Asociacion Colombiana de Medicina Fisica y Rehabilitacion
10.36104	Asociacion Colombiana de Medicina Interna
10.29236	Asociacion Colombiana Ingenieros de Sistemas
10.35692	Asociacion de Facultades de Administracion y Economia - Chile
10.26784	Asociacion Espanola de Contabilidad y Administracion de Empresas (AECA)
10.33231	Asociacion Espanola De Historia Economica
10.31766	Asociacion Espanola de Psiquiatria del Nino y del Adolescente - Aepnya
10.36857	Asociacion Nacional de Universidades e Instituciones de Educacion Superior A.C.
10.30552	Asociacion Universitaria de Educacion y Psicologia
10.36502	Asploro Open Access Publications
10.33194	Associacao Portuguesa dos Enfermeiros de Reabilitacao
10.1145	Association for Computing Machinery (ACM)
10.33281	Association for Tourism Development in Nigeria
10.37725	Association Internationale de management strategique (AIMS)
10.37870	Association Marocaine pour l'Amelioration de la Qualite de l'Enseignement
10.31410	Association of Economists and Managers of the Balkans - Udekom Balkan
10.19048	Association of Forensic Medical Experts
10.30528	Association of Life-span Studies
10.5200	Association of Lithuanian Serials
10.35709	Association of Rice Research Workers
10.24069	Association of Science Editors and Publishers
10.36833	Association of Speech-Language Pathologists of the Czech Republic
10.14531	Association of Spine Surgeons
10.36904	Association scientifique et technique pour l'eau et l'environnement
10.24143	Astrakhan State Technical University
10.33419	Ataturk Arastirma Merkezi Dergisi
10.32952	Ataturk Iletisim Dergisi
10.32547	Ataturk Universitesi Guzel Sanatlar Enstitusu Dergisi
10.33418	Ataturk Universitesi Kazim Karabekir Egitim Fakultesi Dergisi
10.2991	Atlantis Press
10.33492	Australasian College of Road Safety
10.35253	Australian Early Medieval Association
10.33321	Australian Government Department of Health
10.34239	Australian Society of Plastic Surgeons
10.33553	Australian Tactical Medical Association
10.37586	Autonomous non-profit organization-Society of Specialists in the Field Innovative Medical Technology
10.31451	Avrasya Terim Dergisi
10.33692	Avrasya Uluslararası Arastırmalar Dergisi
10.33983	Avtonomnaya nekommercheskaya organizatsiya Akademiya menedzhmenta i biznes-administrirovaniya
10.31682	Ayna Klinik Psikoloji Dergisi
10.35713	Baishideng Publishing Group Inc.
10.35712	Baishideng Publishing Group Inc.
10.37126	Baishideng Publishing Group Inc.
10.35711	Baishideng Publishing Group Inc.
10.4292	Baishideng Publishing Group Inc.
10.4291	Baishideng Publishing Group Inc.
10.3748	Baishideng Publishing Group Inc.
10.11569	Baishideng Publishing Group Inc.
10.5313	Baishideng Publishing Group Inc.
10.4330	Baishideng Publishing Group Inc.
10.4331	Baishideng Publishing Group Inc.
10.12998	Baishideng Publishing Group Inc.
10.5495	Baishideng Publishing Group Inc.
10.5306	Baishideng Publishing Group Inc.
10.5409	Baishideng Publishing Group Inc.
10.5410	Baishideng Publishing Group Inc.
10.5492	Baishideng Publishing Group Inc.
10.5314	Baishideng Publishing Group Inc.
10.4239	Baishideng Publishing Group Inc.
10.5493	Baishideng Publishing Group Inc.
10.4253	Baishideng Publishing Group Inc.
10.4251	Baishideng Publishing Group Inc.
10.4240	Baishideng Publishing Group Inc.
10.5315	Baishideng Publishing Group Inc.
10.4254	Baishideng Publishing Group Inc.
10.5494	Baishideng Publishing Group Inc.
10.5411	Baishideng Publishing Group Inc.
10.5496	Baishideng Publishing Group Inc.
10.5662	Baishideng Publishing Group Inc.
10.5527	Baishideng Publishing Group Inc.
10.5316	Baishideng Publishing Group Inc.
10.5317	Baishideng Publishing Group Inc.
10.5318	Baishideng Publishing Group Inc.
10.5312	Baishideng Publishing Group Inc.
10.5319	Baishideng Publishing Group Inc.
10.5497	Baishideng Publishing Group Inc.
10.5498	Baishideng Publishing Group Inc.
10.4329	Baishideng Publishing Group Inc.
10.5320	Baishideng Publishing Group Inc.
10.5499	Baishideng Publishing Group Inc.
10.4252	Baishideng Publishing Group Inc.
10.5321	Baishideng Publishing Group Inc.
10.5412	Baishideng Publishing Group Inc.
10.5528	Baishideng Publishing Group Inc.
10.5500	Baishideng Publishing Group Inc.
10.5501	Baishideng Publishing Group Inc.
10.13105	Baishideng Publishing Group Inc.
10.33716	Balikesir Medical Journal
10.31795	Balikesir Universitesi Sosyal Bilimler Enstitusu Dergisi
10.30903	Balkan Arastirma Enstitusu Dergisi
10.33043	Ball State University Library
10.36785	Balochistan University of Information Technology, Engineering and Management Sciences
10.22328	Baltic Medical Education Center
10.32468	Banco de la Republica Colombia
10.46387	Bandirma Onyedi Eylul University
10.3329	Bangladesh Journals Online (JOL)
10.36111	Bangladesh Society for Veterinary Medicine
10.33109	Bangladesh Society for Veterinary Medicine
10.32856	Bangladesh Veterinary Association (BVA)
10.24060	Bashkir State Medical University
10.30935	Bastas Publications
10.35675	Bayburt Egitim Fakultesi Dergisi
10.3762	Beilstein Institut
10.21122	Belarusian National Technical University
10.33581	Belarusian State University
10.35596	Belarusian State University of Informatics and Radioelectronics
10.33431	Belgi Dergisi
10.32371	Bendola S.p.r.L - BVBA
10.2174	Bentham Science Publishers Ltd.
10.35998	Berliner Wissenschafts-Verlag
10.33460	BEU Ilahiyat Fakultesi Dergisi
10.31175	Beyond the Horizon International Strategic Studies Group
10.35193	Bilecik Seyh Edebali Universitesi Fen Bilimleri Dergisi
10.33905	Bilecik Seyh Edebali Universitesi Sosyal Bilimler Enstitusu Dergisi
10.30516	Bilge International Journal of Science and Technology Research
10.35705	Bilge Strateji
10.33721	Bilgi Yonetimi
10.30797	Bilimsel Madencilik Dergisi
10.33399	Bingol Universitesi Iktisadi ve Idari Bilimler Fakultesi Dergisi
10.34085	Bingol Universitesi Ilahiyat Fakultesi Dergisi
10.14411	Biology Centre, AS CR
10.7872	BioOne
10.12952	BioOne
10.31931	BioOne
10.1199	BioOne
10.35459	Biophysical Society
10.1530	Bioscientifica
10.35254	Bishkek Humanities University
10.25214	Biteca
10.34248	Black Sea Journal of Engineering and Science
10.32843	Black Sea Research Institute of Economics and Innovation
10.5696	Blacksmith Institute
10.1136	BMJ
10.1783	BMJ
10.32453	Bogdan Khmelnytskyi National Academy of the State Border Guard Service of Ukraine
10.32345	Bogomolets National Medical University
10.32519	Boletim Tecnico-Cientifico do CEPNOR
10.31854	Bonch-Bruevich State University of Telecommunications
10.30682	Bononia University Press
10.30728	Bor Dergisi
10.28925	Borys Grinchenko Kyiv University
10.3372	Botanic Garden & Botanical Museum Berlin-Dahlem BGBM
10.36557	Brazilian Journal of Implantology and Health Sciences
10.7899	Brighthall
10.2959	Brill
10.1163	Brill
10.30965	Brill Deutschland GmbH
10.46692	Bristol University Press
10.1332	Bristol University Press
10.38192	British Association of Physicians of Indian Origin
10.1302	British Editorial Society of Bone & Joint Surgery
10.1259	British Institute of Radiology
10.30987	Bryansk State Technical University BSTU
10.34031	BSTU named after V.G. Shukhov
10.38057	Bucak Isletme Fakultesi Dergisi, Burdur Mehmet Akif Ersoy Universitesi
10.35388	Buddhist Culture and Art Laboratory
10.36865	Bulgarian Association for Promotion of Education and Science - BAPES
10.35465	Bulgarian Rheumatology Society
10.32386	Bullaki Ltd.
10.37692	Bulletin of Academy of Advocacy of Ukraine, Academy of Advocacy of Ukraine
10.37093	Bursa Uludag University
10.37187	Buzdar Insights
10.31220	CABI Publishing
10.1079	CABI Publishing
10.12774	CABI Publishing
10.3917	CAIRN
10.20354	California Digital Library (CDL)
10.15697	California Digital Library (CDL)
10.15310	California Digital Library (CDL)
10.5070	California Digital Library (CDL)
10.15447	California Digital Library (CDL)
10.21426	California Digital Library (CDL)
10.21425	California Digital Library (CDL)
10.20353	California Digital Library (CDL)
10.21977	California Digital Library (CDL)
10.21433	California Digital Library (CDL)
10.31613	Cambridge International Academics
10.1017	Cambridge University Press (CUP)
10.7135	Cambridge University Press (CUP)
10.1375	Cambridge University Press (CUP)
10.5949	Cambridge University Press (CUP)
10.4039	Cambridge University Press (CUP)
10.1557	Cambridge University Press (CUP)
10.5948	Cambridge University Press (CUP)
10.7313	Cambridge University Press (CUP)
10.3815	Cambridge University Press (CUP)
10.33774	Cambridge University Press (CUP)
10.1154	Cambridge University Press (CUP)
10.1139	Canadian Science Publishing
10.35767	Canadian Society of Petroleum Geologists
10.31454	Canakkale Onsekiz Mart Universitesi Uluslararasi Sosyal Bilimler Dergisi
10.23865	Cappelen Damm AS - Cappelen Damm Akademisk
10.29001	Cardiology Research Institute
10.31611	Caribbean Herpetology
10.36023	CASRE of the IGS of NASU
10.36515	Catholic Theological Association of Korea
10.33459	CBU Beden Egitimi ve Spor Bilimleri Dergisi
10.33386	CEIT S.A.
10.34087	Celal Bayar Universitesi Saglık Bilimleri Enstitusu Dergisi
10.5802	Cellule MathDoc/CEDRAM
10.37836	Center for Assistance to Social Development named after Mykola Pyrohov
10.23932	Center for Crisis Society Studies
10.37440	Center for European Social Law Implementation Issues
10.35389	Center for Interdisciplinary Research on China
10.22372	Center for Korean History
10.25269	Center for Pulp and Paper
10.33380	Center of Pharmaceutical Analytics Ltd
10.3201	Centers for Disease Control and Prevention (CDC)
10.15620	Centers for Disease Control and Prevention (CDC)
10.5888	Centers for Disease Control and Prevention (CDC)
10.24975	Centr Regionalnikh Issledovanij
10.33686	Central  Power Research Institute
10.33429	Central Bank of Nigeria
10.31577	Central Library of the Slovak Academy of Sciences
10.36233	Central Research Institute for Epidemiology
10.34169	Central Scientific Research Institute of Armaments and Military Equipment of Armed Forces of Ukrainе
10.31446	Central States Communication Association
10.35691	Centre for Bioresource Research
10.11643	Centre for Evaluation in Education and Science (CEON/CEES)
10.5937	Centre for Evaluation in Education and Science (CEON/CEES)
10.33155	Centro Andaluz de Medicina del Deporte
10.37684	Centro de Investigacion y Proyectos en Ambiente y Desarrollo (CIPAD)
10.37382	Centro Superior de Estudios Universitarios
10.35766	Centro Universitario CIFE
10.37105	Centrum Rzeczoznawstwa Budowlanego Sp z. o.o.
10.36410	Ceramic Research Institute
10.31613	Ceramist
10.30804	Cesm-i Cihan Tarih Kultur ve Sanat Arastirmalari E-Dergisi
10.37599	Ceviribilim ve Uygulamaları Dergisi, Hacettepe University
10.36684	Chechen State University
10.2744	Chelonian Conservation and Biology Journal
10.30732	Chhattisgarh Swami Vivekanand Technical University
10.11565	Chimera Innova Group
10.37796	China Medical University
10.31635	Chinese Chemical Society
10.35271	Christian Theology Institute Center
10.33069	Chronobiology in Medicine
10.33443	Chungbuk National University National Technology Management Research Institute
10.25630	Cifra Ltd - Russian Agency for Digital Standardization (RADS)
10.25726	Cifra Ltd - Russian Agency for Digital Standardization (RADS)
10.33833	Cifra Ltd - Russian Agency for Digital Standardization (RADS)
10.25557	Cifra Ltd - Russian Agency for Digital Standardization (RADS)
10.30517	Cihannuma Tarih ve Cografya Arastirmalari Dergisi
10.33586	CINTER
10.32891	City Space Architecture
10.32840	Classic Private University
10.34068	Clemson University
10.33808	Clinical and Experimental Health Sciences
10.31189	Clinical Exercise Physiology Association
10.12845	CNBOP-PIB Centrum Naukowo-Badawcze Ochrony Przeciwpozarowej
10.17381	CNBOP-PIB Centrum Naukowo-Badawcze Ochrony Przeciwpozarowej
10.3402	Co-Action Publishing
10.17585	Co-Action Publishing
10.4176	Co-Action Publishing
10.36731	Cocuk ve Gelisim Dergisi
10.15586	Codon Publications
10.17645	Cogitatio
10.33688	Cografi Bilimler Dergisi
10.1261	Cold Spring Harbor Laboratory
10.1101	Cold Spring Harbor Laboratory
10.14224	Cold Spring Harbor Laboratory
10.3992	College Publishing
10.36469	Columbia Data Analytics
10.46285	Comenius University in Bratislava
10.46282	Comenius University in Bratislava
10.46287	Comenius University in Bratislava
10.46286	Comenius University in Bratislava
10.46283	Comenius University in Bratislava
10.46284	Comenius University in Bratislava
10.46288	Comenius University in Bratislava
10.31594	Commagene Journal of Biology
10.31801	Communications Faculty of Sciences University of Ankara Series A1 Mathematics and Statistics
10.29220	Communications for Statistical Applications and Methods
10.33434	Communications in Advanced Mathematical Sciences
10.32408	Compositionality
10.15212	Compuscript, Ltd.
10.32604	Computers, Materials and Continua (Tech Science Press)
10.33202	COMU Ziraat Fakultesi Dergisi
10.32800	Consorci del Museu de Ciencies Naturals de Barcelona
10.7202	Consortium Erudit
10.35215	Constitutional Research Institute
10.33205	Constructive Mathematical Analysis
10.31618	Consulting Group Education and Science LLC
10.30935	Contemporary Educational Technology
10.35443	Cooperative Management Institute
10.7482	Copernicus GmbH
10.3285	Copernicus GmbH
10.5194	Copernicus GmbH
10.21930	Corporacion Colombiana de Investigacion Agropecuaria (Corpoica)
10.25043	Corporacion de Ciencia y Tecnologia para el Desarrollo de la Industria Naval Maritima y Fluvial - COTECMAR
10.35997	Corporacion Universitaria Adventista
10.46571	Corporacion Universitaria Autonoma del Cauca
10.21892	Corporacion Universitaria del Caribe - CECAR
10.22507	Corporacion Universitaria Lasallista
10.22209	Corporacion Universitaria Remington
10.31656	Corporacion Universitaria Sabaneta Unisabaneta
10.37714	Cortical Metrics LLC.
10.11141	Council for British Archaeology
10.35191	Creative Connections s.r.o.
10.37004	CREIN, S.L.
10.21778	CRI Electronics
10.31059	Crimean Astrophysical Observatory
10.11613	Croatian Society for Medical Biochemistry and Laboratory Medicine
10.1071	CSIRO Publishing
10.32826	Cuadernos de Economia
10.31182	Cubic Society
10.46398	Cuestiones Politicas, Universidad del Zulia
10.30627	Cukurova Universitesi Ilahiyat Fakultesi Dergisi
10.35379	Cukurova Universitesi Sosyal Bilimler Enstitusu Dergisi
10.32321	Cukurova Universitesi Turkoloji Arastırmaları Dergisi
10.35413	Culture and Arts Contents Laboratory
10.30703	Cumhuriyet International Journal of Education
10.38093	Current Perspectives on Medicinal and Aromatic Plants (CUPMAP)
10.30613	Current Research in Social Sciences
10.37040	Czech Geographical Society
10.33678	Czech Society of Cardiology
10.37281	Dama Research Center Limited
10.25040	Danylo Halytskyi Lviv National Medical University
10.33803	Dedan Kimathi University of Technology
10.34234	Degerler Egitimi Dergisi
10.37422	Department of Animal Science and Technology, Faculty of Agriculture, Nnamdi Azikiwe University
10.7226	Department of Forest Management
10.36581	Design Informational Technology Center
10.33621	DIGSUM
10.33690	Dil Dergisi
10.31464	Dil Egitimi ve Arastirmalari Dergisi
10.30767	Dil ve Edebiyat Arastirmalari Dergisi
10.33415	Dinbilimleri Akademik Arastirma Dergisi
10.37837	Directorate-General for Rendering Services to Diplomatic Missions
10.31822	Disiplinlerarasi Akademik Turizm Dergisi
10.33271	Dnipro University of Technology
10.15802	Dnipropetrovsk National University of Railway Transport
10.35492	Document Academy
10.33717	Dokuz Eylul Universitesi Hukuk Fakultesi Dergisi
10.33464	Dorduncu Kuvvet Uluslararasi Hakemli Dergi
10.24147	Dostoevsky Omsk State University
10.22374	Dougmar Publishing Group, Inc.
10.31632	Dr Tarak Nath Podder Memorial Foundation
10.36887	Drukarnia Madryd
10.20419	Drustvo psihologov Slovenije/Slovenian Psychologists' Association
10.1215	Duke University Press
10.33631	Duzce Universitesi Saglik Bilimleri Enstitusu Dergisi
10.21283	E-JournALL
10.30900	e-Kafkas Egitim Arastirmalari Dergisi
10.24171	E-Tree Publishing
10.34198	Earthline Publishers
10.29382	Earthquake Science
10.17816	ECO-Vector LLC
10.35342	Econder International Academic Journal
10.35429	ECORFAN
10.31465	Edebi Elestiri Dergisi
10.33805	Edelweiss Publications Inc
10.3145	Ediciones Profesionales de la Informacion SL
10.1344	Edicions de la Universitat de Barcelona
10.32869	Edicions de la Universitat de Barcelona
10.36384	EDIMECO
10.3366	Edinburgh University Press
10.15448	EDIPUCRS
10.37008	Editora BAGAI
10.46493	EDITORIAL BOARD FOREIGN AFFAIRS (FOREIGN AFFAIRS-UA)
10.33262	Editorial Ciencia Digital
10.30549	Editorial Committee of the Swedish Institutes at Athens and Rome (ECSI)
10.3989	Editorial CSIC
10.14718	Editorial Universidad Catolica de Colombia
10.21610	Editorum, LLC
10.36175	eDIzioNi AkME
10.30687	Edizioni Ca Foscari
10.23736	Edizioni Minerva Medica
10.9742	EDP Sciences
10.2516	EDP Sciences
10.2515	EDP Sciences
10.1051	EDP Sciences
10.33713	Ege Tip Bilimleri Dergisi
10.31722	Ege Universitesi Devlet Turk Musikisi Konservatuvarı Dergisi
10.38009	Ekonomi Isletme Maliye Arastirmalari Dergisi
10.30784	Ekonomi Politika ve  Finanas Arastirmalari  Dergisi
10.33679	El Colegio de la Frontera Norte A.C.
10.17428	El Colegio de la Frontera Norte A.C.
10.31202	El-Cezeri: Journal of Science and Engineering
10.35759	Elewa Biosciences, F.a.C.T Ltd (K)
10.7554	eLife Sciences Publications, Ltd
10.15252	EMBO
10.4336	Embrapa Florestas
10.1108	Emerald
10.35241	Emerald
10.5042	Emerald
10.31010	Empress Publishing, LLC
10.30919	Engineered Science Publisher
10.32448	ENT Updates Journal
10.12944	Enviro Research Publishers
10.32389	Environmental and Engineering Geophysical Society
10.1289	Environmental Health Perspectives
10.35208	Environmental Research and Technology
10.35430	Episteme Health Inc
10.11139	Equinox Publishing
10.1558	Equinox Publishing
10.32433	Erciyes Journal of Education
10.32707	Erciyes Universitesi Veteriner Fakultesi Dergisi
10.32704	Erdem
10.33439	Ergonomi
10.30720	Ergoterapi ve Rehabilitasyon Dergisi
10.36542	Ermeni Arastirmalari
10.33687	EScience Press
10.18667	Escuela de Posgrados FAC
10.21830	Escuela Militar de Cadetes Jose Maria Cordova
10.33333	Escuela Politecnica Nacional
10.37127	Escuela Superior Tecnologica de Artes Debora Arango
10.31796	Eskisehir Osmangazi Universitesi Muhendislik ve Mimarlik Fakultesi  Dergisi
10.35232	Eskisehir Turk Dunyasi Uygulama ve Arastirma Merkezi Halk Sagligi Dergisi
10.37697	Eskiyeni
10.35864	Etlik Veteriner Mikrobiyoloji Dergisi
10.32601	Eurasian Journal of Applied Linguistics
10.31195	Eurasian Journal of Forest Science
10.33880	Eurasian Society of Family Medicine
10.34154	European Academy of Applied and Social Sciences (EURAASS)
10.1510	European Association of Cardiothoracic Surgery (EACTS Publishing Ltd)
10.2807	European Centre for Disease Control and Prevention (ECDC)
10.33904	European Journal of Forest Engineering
10.31590	European Journal of Science and Technology
10.36222	European Journal of Technique
10.33590	European Medical Group
10.1183	European Respiratory Society (ERS)
10.36074	European Scientific Platform
10.37461	European Society of Cardiology
10.31025	Eurowaste SRL
10.37091	Ewha Historical Institutions
10.31780	Ewha Institute of Unification Studies
10.33788	Expert Projects
10.4089	F1000 Research Ltd
10.12688	F1000 Research Ltd
10.32824	Facultad de Psicologia - Universidad de Buenos Aires
10.33623	Faculty of Geology Lomonosov Moscow State University
10.29162	Faculty of Humanities and Social Sciences Osijek
10.25234	Faculty of Law Josip Juraj Strossmayer University of Osijek
10.31482	Faculty of Military Health Sciences, University of Defence
10.36836	Faculty of Physical Education and Sports, Alexandru Ioan Cuza - University of IASI, Romania
10.30755	Faculty of Sciences, University of Novi Sad
10.34135	Faculty of Social Sciences, University of Saints Cyril and Methodius
10.24290	Faculty of Sociology, Lomonosov Moscow State University
10.36759	Faculty of Veterinary Medicine, University of Ilorin
10.12703	Faculty Opinions Ltd
10.3410	Faculty Opinions Ltd
10.37893	Fakultas Hukum Universitas Krisnadwipayana
10.31947	Fakultas Ilmu Sosial dan Ilmu Politik Universitas Hasanuddin
10.30597	Fakultas Kesehatan Masyarakat Universitas Hasanuddin
10.29080	Fakultas Sains dan Teknologi UINSA
10.21800	FapUNIFESP (SciELO)
10.21762	FapUNIFESP (SciELO)
10.7476	FapUNIFESP (SciELO)
10.1590	FapUNIFESP (SciELO)
10.36604	Far Eastern Scientific Center Of Physiology and Pathology of Respiration
10.30766	FARC of the North-East named N.V. Rudnitskogo
