doi	PC_1	figure
[@doi:10.1101/2019.12.11.872887]	-3.4783803547922414	![](table_figures/872887_fig1.tif)
[@doi:10.1101/455048]	-3.728443135960558	![](table_figures/455048_fig1.tif)
[@doi:10.1101/733162]	-3.7363965062637288	![](table_figures/733162v1_fig1.tif)
[@doi:10.1101/745943]	-3.6926161167521476	![](table_figures/745943v1_fig1.tif)
[@doi:10.1101/754572]	-3.8769231933681176	![](table_figures/754572v1_fig1.tif)
