doi	PC_2	figure
[@doi:10.1101/019687]	-2.512047640539022	![](table_figures/019687_fig1.tif)
[@doi:10.1101/301051]	-2.547393499209389	![](table_figures/301051_fig3.tif)
[@doi:10.1101/357939]	-2.5561246453120976	![](table_figures/357939_fig4.tif)
[@doi:10.1101/386367]	-3.1061160163276282	![](table_figures/386367v3_fig1.tif)
[@doi:10.1101/840280]	-2.903422991868243	![](table_figures/840280v1_fig1.tif)
