doi	PC_2	figure
[@doi:10.1101/220152]	2.8891250760798535	![](table_figures/220152_fig3.tif)
[@doi:10.1101/328591]	2.9927461425956734	![](table_figures/328591_fig1.tif)
[@doi:10.1101/484204]	2.884473743041575	![](table_figures/484204v2_fig1.tif)
[@doi:10.1101/595819]	2.991601530225049	![](table_figures/595819_fig1.tif)
[@doi:10.1101/781328]	3.2324188285918978	![](table_figures/781328v1_fig3.tif)
