document	doi	pmcid	distance
011718_v1.xml	10.1101/011718	PMC4889935	0.6671668680077123
004960_v1.xml	10.1101/004960	PMC4245973	0.6730770630246586
009100_v1.xml	10.1101/009100	PMC4552029	0.778443274142023
005124_v1.xml	10.1101/005124	PMC4524669	0.8412599882043635
002097_v1.xml	10.1101/002097	PMC4404056	0.8556552121071125
000836_v1.xml	10.1101/000836	PMC4592070	0.8570729154970506
012203_v1.xml	10.1101/012203	PMC4495646	0.8732264989973562
001602_v1.xml	10.1101/001602	PMC3896944	0.8749263637825596
016865_v1.xml	10.1101/016865	PMC5449616	0.9387135148363911
017863_v1.xml	10.1101/017863	PMC4539524	0.9648854916455919
019299_v1.xml	10.1101/019299	PMC5013908	1.002315596220369
003129_v1.xml	10.1101/003129	PMC4866720	1.0268569726799952
015776_v1.xml	10.1101/015776	PMC4303948	1.0424882222300713
017087_v1.xml	10.1101/017087	PMC4804353	1.0712857185129196
007765_v2.xml	10.1101/007765	PMC4559059	1.0840174987860483
019661_v1.xml	10.1101/019661	PMC5132101	1.084606267172754
008201_v2.xml	10.1101/008201	PMC4539601	1.1134801044782707
013615_v1.xml	10.1101/013615	PMC4669641	1.1230584095300493
000240_v1.xml	10.1101/000240	PMC4243381	1.1302386579221333
008656_v1.xml	10.1101/008656	PMC4892581	1.141412230819214
021444_v1.xml	10.1101/021444	PMC5954285	1.1455982677634053
012021_v1.xml	10.1101/012021	PMC5063146	1.190156159923096
004291_v1.xml	10.1101/004291	PMC4650676	1.2018868001656609
004366_v1.xml	10.1101/004366	PMC4650676	1.2044981991029686
018606_v1.xml	10.1101/018606	PMC5046904	1.2114692227294295
014811_v1.xml	10.1101/014811	PMC4943191	1.2149062337507524
008508_v1.xml	10.1101/008508	PMC4813122	1.215937384900744
039222_v1.xml	10.1101/039222	PMC4907805	0.7183706862401438
035303_v1.xml	10.1101/035303	PMC4869913	0.8188060340217083
043471_v1.xml	10.1101/043471	PMC5035412	0.8374911767108099
036855_v2.xml	10.1101/036855	PMC5421721	0.9001941970672388
029322_v1.xml	10.1101/029322	PMC5160921	0.9009040193794056
036764_v1.xml	10.1101/036764	PMC5540598	0.9213366292943551
034090_v1.xml	10.1101/034090	PMC5716106	0.9265378183926768
034082_v1.xml	10.1101/034082	PMC5201242	0.9280530587435305
037648_v1.xml	10.1101/037648	PMC5936950	0.9381261262884999
038133_v1.xml	10.1101/038133	PMC5809549	0.9387775856924429
030775_v1.xml	10.1101/030775	PMC4897766	0.9844025115144478
034322_v1.xml	10.1101/034322	PMC6099083	0.9861186762555387
031427_v1.xml	10.1101/031427	PMC4866754	0.9887263001248928
022343_v1.xml	10.1101/022343	PMC5307852	0.9929917773980553
036145_v1.xml	10.1101/036145	PMC4974460	0.9956422598084704
037457_v1.xml	10.1101/037457	PMC4987025	1.0133133420173583
041152_v1.xml	10.1101/041152	PMC5694829	1.0591807381503535
042275_v1.xml	10.1101/042275	PMC5294666	1.0671633724012282
033506_v2.xml	10.1101/033506	PMC5680698	1.0749335687263688
042952_v1.xml	10.1101/042952	PMC5585340	1.0813586846956211
043711_v1.xml	10.1101/043711	PMC5866468	1.1190988594428253
036897_v1.xml	10.1101/036897	PMC5059695	1.119776777907883
024109_v1.xml	10.1101/024109	PMC4764592	1.1294184607025348
042986_v2.xml	10.1101/042986	PMC5409497	1.1334462760382416
035451_v2.xml	10.1101/035451	PMC5467749	1.1541703848998117
026161_v1.xml	10.1101/026161	PMC5004905	1.1649553314765166
028472_v1.xml	10.1101/028472	PMC4995676	1.170939198484378
042051_v3.xml	10.1101/042051	PMC5687033	1.1761599338409903
026575_v3.xml	10.1101/026575	PMC5147790	1.201040632474681
026443_v1.xml	10.1101/026443	PMC5850688	1.2044562688930456
030353_v1.xml	10.1101/030353	PMC4885602	1.2101339130351187
041715_v2.xml	10.1101/041715	PMC5378105	1.210271863999725
059238_v1.xml	10.1101/059238	PMC5314688	0.6304427588874518
045450_v1.xml	10.1101/045450	PMC5122016	0.7367296777544805
064626_v1.xml	10.1101/064626	PMC5034794	0.8162615104251386
052563_v1.xml	10.1101/052563	PMC4957174	0.8314881525789977
056440_v2.xml	10.1101/056440	PMC5472747	0.8530246172251273
044818_v1.xml	10.1101/044818	PMC5862271	0.867080764720652
049239_v1.xml	10.1101/049239	PMC5142465	0.8702098328120469
044909_v1.xml	10.1101/044909	PMC4966792	0.8875358130262079
060418_v1.xml	10.1101/060418	PMC5406158	0.9207110720847617
064337_v1.xml	10.1101/064337	PMC5373428	0.9244889419682939
051276_v1.xml	10.1101/051276	PMC5012401	0.9251710013798197
065110_v2.xml	10.1101/065110	PMC6412005	0.9288016234229353
052878_v1.xml	10.1101/052878	PMC5895441	0.9402022705569327
050211_v1.xml	10.1101/050211	PMC5358897	0.9450115551508103
058784_v1.xml	10.1101/058784	PMC5047527	0.9762555478366247
048652_v1.xml	10.1101/048652	PMC5824830	1.0227610035585306
044172_v1.xml	10.1101/044172	PMC5114649	1.0355864822892529
058701_v1.xml	10.1101/058701	PMC5015846	1.0487925974880858
059139_v1.xml	10.1101/059139	PMC5234001	1.1223292374335874
064287_v1.xml	10.1101/064287	PMC5869013	1.132625673241458
051219_v1.xml	10.1101/051219	PMC5170554	1.1699012918879252
059501_v1.xml	10.1101/059501	PMC5714492	1.1709058165032409
051078_v1.xml	10.1101/051078	PMC5116069	1.1937206227678374
056614_v1.xml	10.1101/056614	PMC5363007	1.2076180181746459
046953_v1.xml	10.1101/046953	PMC5244587	1.2100345724523192
066571_v1.xml	10.1101/066571	PMC5553991	0.6465212655013792
086454_v1.xml	10.1101/086454	PMC5167777	0.6840287311526954
077750_v3.xml	10.1101/077750	PMC5543425	0.7064849687205602
067173_v2.xml	10.1101/067173	PMC5336226	0.7770346021836253
085621_v1.xml	10.1101/085621	PMC6685481	0.8026205412889514
078642_v1.xml	10.1101/078642	PMC5408850	0.8486049776212269
067850_v1.xml	10.1101/067850	PMC5286425	0.860897907305573
079533_v1.xml	10.1101/079533	PMC5979038	0.8901222661781313
077941_v1.xml	10.1101/077941	PMC5970534	0.8947616493943709
084103_v1.xml	10.1101/084103	PMC5440176	0.8953059648676739
074757_v1.xml	10.1101/074757	PMC5179134	0.9118008047453421
073445_v1.xml	10.1101/073445	PMC5643016	0.9424554413404843
