pub_month	published	posted	rate	label
2013-11	28	49	0.5714285714285714	2020 Snapshot+Missing Links
2013-12	33	42	0.7857142857142857	2020 Snapshot+Missing Links
2014-01	32	50	0.64	2020 Snapshot+Missing Links
2014-02	41	60	0.6833333333333333	2020 Snapshot+Missing Links
2014-03	32	43	0.7441860465116279	2020 Snapshot+Missing Links
2014-04	38	61	0.6229508196721312	2020 Snapshot+Missing Links
2014-05	49	72	0.6805555555555556	2020 Snapshot+Missing Links
2014-06	51	76	0.6710526315789473	2020 Snapshot+Missing Links
2014-07	41	62	0.6612903225806451	2020 Snapshot+Missing Links
2014-08	56	82	0.6829268292682927	2020 Snapshot+Missing Links
2014-09	57	79	0.7215189873417721	2020 Snapshot+Missing Links
2014-10	61	86	0.7093023255813954	2020 Snapshot+Missing Links
2014-11	58	72	0.8055555555555556	2020 Snapshot+Missing Links
2014-12	68	91	0.7472527472527473	2020 Snapshot+Missing Links
2015-01	76	103	0.7378640776699029	2020 Snapshot+Missing Links
2015-02	56	88	0.6363636363636364	2020 Snapshot+Missing Links
2015-03	84	118	0.711864406779661	2020 Snapshot+Missing Links
2015-04	84	122	0.6885245901639344	2020 Snapshot+Missing Links
2015-05	62	107	0.5794392523364486	2020 Snapshot+Missing Links
2015-06	85	118	0.7203389830508474	2020 Snapshot+Missing Links
2015-07	99	147	0.673469387755102	2020 Snapshot+Missing Links
2015-08	110	149	0.738255033557047	2020 Snapshot+Missing Links
2015-09	111	157	0.7070063694267515	2020 Snapshot+Missing Links
2015-10	129	181	0.712707182320442	2020 Snapshot+Missing Links
2015-11	147	217	0.6774193548387096	2020 Snapshot+Missing Links
2015-12	114	166	0.6867469879518072	2020 Snapshot+Missing Links
2016-01	139	197	0.7055837563451777	2020 Snapshot+Missing Links
2016-02	187	255	0.7333333333333333	2020 Snapshot+Missing Links
2016-03	245	361	0.6786703601108033	2020 Snapshot+Missing Links
2016-04	206	318	0.6477987421383647	2020 Snapshot+Missing Links
2016-05	266	375	0.7093333333333334	2020 Snapshot+Missing Links
2016-06	252	369	0.6829268292682927	2020 Snapshot+Missing Links
2016-07	270	367	0.7356948228882834	2020 Snapshot+Missing Links
2016-08	322	425	0.7576470588235295	2020 Snapshot+Missing Links
2016-09	300	427	0.702576112412178	2020 Snapshot+Missing Links
2016-10	303	422	0.7180094786729858	2020 Snapshot+Missing Links
2016-11	312	443	0.7042889390519187	2020 Snapshot+Missing Links
2016-12	364	527	0.6907020872865275	2020 Snapshot+Missing Links
2017-01	400	556	0.7194244604316546	2020 Snapshot+Missing Links
2017-02	421	576	0.7309027777777778	2020 Snapshot+Missing Links
2017-03	536	745	0.7194630872483222	2020 Snapshot+Missing Links
2017-04	515	715	0.7202797202797203	2020 Snapshot+Missing Links
2017-05	638	904	0.7057522123893806	2020 Snapshot+Missing Links
2017-06	726	1014	0.7159763313609467	2020 Snapshot+Missing Links
2017-07	656	923	0.7107258938244854	2020 Snapshot+Missing Links
2017-08	679	969	0.7007223942208463	2020 Snapshot+Missing Links
2017-09	750	1047	0.7163323782234957	2020 Snapshot+Missing Links
2017-10	804	1160	0.6931034482758621	2020 Snapshot+Missing Links
2017-11	826	1171	0.7053800170794193	2020 Snapshot+Missing Links
2017-12	753	1047	0.7191977077363897	2020 Snapshot+Missing Links
2018-01	848	1238	0.6849757673667205	2020 Snapshot+Missing Links
2018-02	789	1199	0.6580483736447039	2020 Snapshot+Missing Links
2018-03	934	1464	0.6379781420765027	2020 Snapshot+Missing Links
2018-04	908	1475	0.615593220338983	2020 Snapshot+Missing Links
2018-05	1193	1869	0.6383092562867844	2020 Snapshot+Missing Links
2018-06	1078	1817	0.593285635663181	2020 Snapshot+Missing Links
2018-07	1044	1702	0.6133960047003525	2020 Snapshot+Missing Links
2018-08	1106	1837	0.6020685900925422	2020 Snapshot+Missing Links
2018-09	1067	1858	0.5742734122712594	2020 Snapshot+Missing Links
2018-10	1189	2104	0.5651140684410646	2020 Snapshot+Missing Links
2018-11	1031	1903	0.5417761429322123	2020 Snapshot+Missing Links
2018-12	995	1958	0.5081716036772217	2020 Snapshot+Missing Links
2019-01	1080	2149	0.5025593299208935	2020 Snapshot+Missing Links
2019-02	1013	2012	0.5034791252485089	2020 Snapshot+Missing Links
2019-03	1160	2433	0.47677764077270857	2020 Snapshot+Missing Links
2019-04	951	2283	0.41655716162943496	2020 Snapshot+Missing Links
2019-05	951	2545	0.3736738703339882	2020 Snapshot+Missing Links
2019-06	783	2440	0.3209016393442623	2020 Snapshot+Missing Links
2019-07	713	2657	0.26834776063229204	2020 Snapshot+Missing Links
2019-08	544	2540	0.2141732283464567	2020 Snapshot+Missing Links
2019-09	402	2731	0.14719882826803368	2020 Snapshot+Missing Links
2019-10	281	3058	0.09189012426422498	2020 Snapshot+Missing Links
2019-11	134	2756	0.04862119013062409	2020 Snapshot+Missing Links
