lemma	corpus_one_a	corpus_two_b	corpus_one_c	corpus_two_d	log_likelihood	odds_ratio
children	2844519	633876	5365015381	659277495	161226.5736694336	0.5514445004804506
n	8911129	56818	5365015381	659277495	1627119.5838928223	19.27276686017514
going	180546	599672	5365015381	659277495	1850696.4192504883	0.036997414866563196
police	45679	554391	5365015381	659277495	2140189.99798584	0.010125062112751052
study	20300434	209450	5365015381	659277495	3288352.74810791	11.910287299151816
ml	5753367	182	5365015381	659277495	1329635.8197021484	3884.6148819783007
man	128680	548191	5365015381	659277495	1796656.4752807617	0.02884539102975627
number	8721662	397903	5365015381	659277495	511107.1067504883	2.6935145013551685
h	6052940	23145	5365015381	659277495	1200740.7730407715	32.13708366780118
1	20800304	768107	5365015381	659277495	1584088.3453674316	3.3277082154855737
age	5830617	266292	5365015381	659277495	341297.4684448242	2.6906281072037497
use	6062617	476754	5365015381	659277495	100054.28430175781	1.5626548603075787
officials	24401	760328	5365015381	659277495	3151784.543182373	0.003943700452963899
6	6024214	451606	5365015381	659277495	118355.32409667969	1.639222729412835
cells	23853662	42120	5365015381	659277495	5086123.961486816	69.59274678938158
day	3491601	896991	5365015381	659277495	333055.8678588867	0.47833681036443576
min	4947283	1852	5365015381	659277495	1121557.1245117188	328.2638443816896
low	5703855	233089	5365015381	659277495	387075.7342224121	3.007073043920223
p	13550080	28449	5365015381	659277495	2855408.4847717285	58.529138757819
program	1294445	480414	5365015381	659277495	352869.96813964844	0.3311046095999768
3	12166464	880073	5365015381	659277495	268631.5862121582	1.6988027589686305
similar	5221324	151846	5365015381	659277495	499461.03286743164	4.225465566845857
market	205959	539866	5365015381	659277495	1557196.0976867676	0.04688048295199501
”	5488552	4059	5365015381	659277495	1222961.8975830078	166.16364540525393
university	1480472	659677	5365015381	659277495	617948.2661132812	0.2757821386781887
based	8697542	367817	5365015381	659277495	565027.8661804199	2.9057752233120513
genes	7335919	15385	5365015381	659277495	1546929.626373291	58.594156462125234
increased	6530384	109599	5365015381	659277495	881086.8522644043	7.321994653801475
said	196528	7731501	5365015381	659277495	32334762.86102295	0.003123617862634033
new	3219695	4031911	5365015381	659277495	8607307.067596436	0.09812983662316596
law	221732	567920	5365015381	659277495	1626307.8405456543	0.04797759684348208
game	158096	635742	5365015381	659277495	2056567.731048584	0.03055886766139065
companies	89552	480208	5365015381	659277495	1649655.3338623047	0.02291623030887721
 	2989534	3356884	5365015381	659277495	6757818.457702637	0.10943706635290834
share	362712	597814	5365015381	659277495	1455445.8231201172	0.0745578064497666
significantly	6466592	32542	5365015381	659277495	1232512.0631103516	24.419035121313843
t	6047561	106051	5365015381	659277495	798960.6787414551	7.007494559246595
level	6607095	200394	5365015381	659277495	609933.5210571289	4.0515678547939284
times	2427010	520838	5365015381	659277495	117804.97045898438	0.5726195651140196
type	5671708	72645	5365015381	659277495	856285.6679077148	9.594125943154348
system	5116317	411423	5365015381	659277495	77263.9848022461	1.5281506056678313
dr.	149053	641203	5365015381	659277495	2105941.832397461	0.028565541129684065
total	6188243	157414	5365015381	659277495	655785.2291259766	4.830824765349304
cell	14466512	39388	5365015381	659277495	2979428.0469055176	45.13330967425848
want	164878	502140	5365015381	659277495	1513761.3951721191	0.04034922263812649
response	4997898	110722	5365015381	659277495	580579.0595397949	5.54690523326953
think	268132	550116	5365015381	659277495	1460823.1900634766	0.059895149148299714
years	4895243	1796013	5365015381	659277495	1295594.1364440918	0.3349361768926561
mice	6537299	8445	5365015381	659277495	1422623.7807312012	95.12528581618876
right	2134239	570663	5365015381	659277495	232305.91232299805	0.45957946596388327
street	55332	905222	5365015381	659277495	3593916.0002441406	0.007511359490155427
people	1652139	1676443	5365015381	659277495	3183783.804107666	0.12110304719867226
±	11016756	1	5365015381	659277495	2551200.583129883	1353789.091533309
data	17896614	130324	5365015381	659277495	3174763.5218200684	16.874998760333945
second	2855577	594417	5365015381	659277495	121445.76470947266	0.5903369041067378
long	2658125	913352	5365015381	659277495	595997.2095947266	0.35763045526439663
school	855011	800020	5365015381	659277495	1444954.218322754	0.1313312680305215
state	2461307	1251630	5365015381	659277495	1361735.1880493164	0.24165016852335738
play	1054980	496312	5365015381	659277495	495694.56640625	0.2612081541674528
al	17451861	132751	5365015381	659277495	3065494.5057373047	16.15478653011663
home	715186	805183	5365015381	659277495	1625529.3690490723	0.10914948402805415
control	9070633	276031	5365015381	659277495	834692.1307983398	4.038099505313124
specific	5745436	67065	5365015381	659277495	896146.3551635742	10.527477986470288
night	231076	589751	5365015381	659277495	1686915.8395080566	0.048148574609256874
associated	6955965	68303	5365015381	659277495	1144939.6372680664	12.514539936349731
good	1437700	683489	5365015381	659277495	690764.005645752	0.2584842125780348
20	5200279	426856	5365015381	659277495	72008.2287902832	1.497071469374739
know	423965	520446	5365015381	659277495	1101502.4499816895	0.10010404110986743
week	1239625	782033	5365015381	659277495	1049032.0489196777	0.19478814697718472
court	25583	554296	5365015381	659277495	2248477.063018799	0.005671618439994319
time	11258014	1578029	5365015381	659277495	23140.045867919922	0.8766860254372477
test	6824993	138836	5365015381	659277495	833684.1889038086	6.040840892365066
government	308834	803970	5365015381	659277495	2313768.718475342	0.047204406605571486
public	1028804	713929	5365015381	659277495	1038285.0491943359	0.17708219649129944
business	73453	660334	5365015381	659277495	2460904.206665039	0.013669201905749818
analysis	12546247	59351	5365015381	659277495	2413417.260498047	25.9766457706397
fig	13310282	2541	5365015381	659277495	3044389.5042419434	643.6946082098381
mm	5761790	360	5365015381	659277495	1328819.689300537	1966.7637918764897
performed	7242675	115547	5365015381	659277495	1000119.5108947754	7.70260457035707
observed	7528396	26516	5365015381	659277495	1508647.426727295	34.88925729713106
political	119649	486575	5365015381	659277495	1578180.69921875	0.030217362981593915
effect	6962991	153898	5365015381	659277495	809826.0100708008	5.559812395958045
disease	5089904	110870	5365015381	659277495	597410.7102050781	5.6414770185376035
family	2235394	645942	5365015381	659277495	309557.12313842773	0.4252632331239314
come	216766	491133	5365015381	659277495	1350950.43359375	0.054236209192730825
way	1674362	862610	5365015381	659277495	951802.4937133789	0.23852403645373293
national	1305966	718185	5365015381	659277495	847242.4065551758	0.22345641137642547
"				"	18199325	1	5365015381	659277495	4211862.2189331055	2236415.8431274546
united	551100	1024026	5365015381	659277495	2618264.1993408203	0.06613276899745726
million	542937	1213809	5365015381	659277495	3322415.3121643066	0.054966282448574454
world	741051	943243	5365015381	659277495	2033882.2475891113	0.09654322147714746
“	5546813	4073	5365015381	659277495	1236228.0273742676	167.35026108619846
rate	5195818	239785	5365015381	659277495	299627.94833374023	2.6627426701366943
ago	136309	592403	5365015381	659277495	1950059.321899414	0.02827512686067185
center	1156419	663110	5365015381	659277495	814868.313659668	0.21430234375629803
 	5160158	1	5365015381	659277495	1195562.2422790527	634103.6881445261
expression	12371288	28343	5365015381	659277495	2588765.382873535	53.63723477896293
found	8047532	469813	5365015381	659277495	308095.76065063477	2.1049169343434406
lead	1359132	1043530	5365015381	659277495	1642225.5268859863	0.1600493735032364
d	5238951	90267	5365015381	659277495	698151.785369873	7.132020898079558
clinical	5187380	27259	5365015381	659277495	981753.0472412109	23.38489494607315
results	13192663	150633	5365015381	659277495	2071277.3015136719	10.762412231733556
money	94989	566013	5365015381	659277495	1981931.439453125	0.02062263661187945
mr.	8037	5817946	5365015381	659277495	25577750.991516113	0.00016975460404849995
table	9609913	101736	5365015381	659277495	1546216.447113037	11.607590470318643
respectively	5408486	25400	5365015381	659277495	1042278.6441955566	26.16611663018659
place	709844	525204	5365015381	659277495	803785.515838623	0.16608567287734471
cancer	5656957	134015	5365015381	659277495	629526.6837768555	5.187125390138768
old	1323085	1003174	5365015381	659277495	1563860.3911743164	0.16207228596156026
mean	6178812	111694	5365015381	659277495	804041.7964782715	6.797863138860695
today	101719	1053502	5365015381	659277495	3995147.4672546387	0.01186489767535071
american	518306	1227162	5365015381	659277495	3424919.3569335938	0.05190170410130922
figure	14247402	126440	5365015381	659277495	2409742.921234131	13.846769755912606
life	2251347	690621	5365015381	659277495	371058.5542907715	0.40058984673117565
white	1202454	577389	5365015381	659277495	590206.9482421875	0.255915885784803
related	5091279	99135	5365015381	659277495	637313.6295166016	6.310985255459909
ms.	2956	957363	5365015381	659277495	4195514.792999268	0.00037942423781136533
left	2322266	530001	5365015381	659277495	144631.49710083008	0.5384340970368352
non	6145600	54506	5365015381	659277495	1040481.9106140137	13.85534223376219
department	455292	492990	5365015381	659277495	973573.4517822266	0.11348780308572495
director	35553	548286	5365015381	659277495	2166016.574523926	0.007968312828464516
like	2545436	1809044	5365015381	659277495	2680255.0913085938	0.1729061065647411
end	2065223	527968	5365015381	659277495	193848.07369995117	0.48068064117075004
shown	8110411	91152	5365015381	659277495	1280658.7789611816	10.93387086652768
2	15802098	651209	5365015381	659277495	1059800.2655334473	2.981890122207838
