lemma	corpus_one_a	corpus_two_b	corpus_one_c	corpus_two_d	log_likelihood	odds_ratio
house	236735	802719	5365015381	659277495	2490533.355895996	0.0362406691341263
yesterday	3190	816741	5365015381	659277495	3572001.4855651855	0.00047995840912750136
best	1323985	501641	5365015381	659277495	379654.3550415039	0.3243301474385527
’	4837734	1070	5365015381	659277495	1105502.6215515137	555.5913648094682
–	7614840	1	5365015381	659277495	1763922.0673217773	935746.1784368741
net	348900	504167	5365015381	659277495	1157253.7253112793	0.08504011392135652
year	1846897	1871127	5365015381	659277495	3549752.443664551	0.12129326589370064
risk	5338328	128459	5365015381	659277495	587933.2066040039	5.106672387486848
music	124246	499143	5365015381	659277495	1614411.3823547363	0.03058825559833037
showed	6355817	139264	5365015381	659277495	743207.3790283203	5.608281429601842
federal	92261	587507	5365015381	659277495	2080645.7377319336	0.019297559632766675
4	9713573	459683	5365015381	659277495	539378.2005004883	2.596676484509005
little	809648	576238	5365015381	659277495	855374.1201477051	0.17265995865854705
west	272974	522574	5365015381	659277495	1352035.1853637695	0.06419050097153291
war	48528	504275	5365015381	659277495	1913451.2604370117	0.011825574120470753
samples	6202836	17107	5365015381	659277495	1276880.479095459	44.556772305779376
compared	8527264	98796	5365015381	659277495	1332982.9695739746	10.606390846727956
values	6047939	53681	5365015381	659277495	1023750.2528076172	13.844717048157625
called	629649	580434	5365015381	659277495	1038399.9027099609	0.13330393005557395
°	8136102	2	5365015381	659277495	1884557.5001220703	499900.61208591436
women	3019814	502009	5365015381	659277495	36536.56384277344	0.7392068293358705
higher	6967705	181158	5365015381	659277495	726782.7321777344	4.7263895929339155
york	105022	1720583	5365015381	659277495	6830018.884155273	0.007500702433903846
patients	18263143	126221	5365015381	659277495	3276775.255706787	17.7803859046428
season	340323	544258	5365015381	659277495	1307943.1660461426	0.0768393635727367
methods	5095075	27284	5365015381	659277495	961200.2316894531	22.947734681413575
p.m.	20830	631032	5365015381	659277495	2612058.338531494	0.004056347623950081
treatment	9392163	106985	5365015381	659277495	1476342.197052002	10.787976945952748
dna	4989564	23160	5365015381	659277495	963308.7849731445	26.47410714194458
country	532443	551835	5365015381	659277495	1062091.586517334	0.11856627049088846
health	6392535	403202	5365015381	659277495	205927.34698486328	1.948263599582891
studies	9318438	100884	5365015381	659277495	1488938.9096679688	11.35058136269596
team	519376	532023	5365015381	659277495	1016806.7946166992	0.11996339533386081
gene	7423666	35637	5365015381	659277495	1425489.0527038574	25.59850289539456
effects	5635876	65961	5365015381	659277495	878281.9643249512	10.499569139094824
percent	593322	1199380	5365015381	659277495	3166633.0332946777	0.06078983002013677
group	11185162	678400	5365015381	659277495	394170.69091796875	2.026066608015005
protein	8898282	12937	5365015381	659277495	1923364.4556884766	84.52201976204366
levels	8403592	78525	5365015381	659277495	1402522.036682129	13.150864210891987
company	170890	1526628	5365015381	659277495	5682948.110565186	0.013755636974801746
10	9365701	720183	5365015381	659277495	168062.25326538086	1.5980659674408393
et	18120392	7252	5365015381	659277495	4097807.827484131	307.0485655030592
different	10127073	290725	5365015381	659277495	978444.5106201172	4.280542772048001
present	4940741	127497	5365015381	659277495	518298.69982910156	4.76200011824519
activity	6841121	58614	5365015381	659277495	1168611.9080810547	14.342444947235279
states	1248598	966169	5365015381	659277495	1529455.9282531738	0.1588059666604868
work	2535606	842468	5365015381	659277495	520440.72622680664	0.3698500115476205
obtained	4807957	29724	5365015381	659277495	883602.8762207031	19.876989205126467
--	50809	2835533	5365015381	659277495	12036488.0289917	0.002201928542418165
reported	6918021	220048	5365015381	659277495	612256.1063842773	3.863329318823982
says	19109	478865	5365015381	659277495	1960934.4206542969	0.004903680254683379
john	79969	569213	5365015381	659277495	2052202.7640075684	0.0172641076221763
c	14198643	93763	5365015381	659277495	2572929.7086486816	18.608553909507915
significant	8925738	104870	5365015381	659277495	1388658.632446289	10.458999597944942
b	7991953	134685	5365015381	659277495	1076003.9477539062	7.291736565547137
model	8136668	89348	5365015381	659277495	1294445.9885864258	11.190746036022215
groups	6334427	227823	5365015381	659277495	497147.28692626953	3.4167015819774287
office	161045	489148	5365015381	659277495	1473494.5090026855	0.040457984453640274
human	4946852	228189	5365015381	659277495	285473.70181274414	2.663983261920198
5	10018914	488109	5365015381	659277495	532001.7227783203	2.5223253975605546
including	4954169	524179	5365015381	659277495	11042.607879638672	1.1614178034577827
high	9086405	710856	5365015381	659277495	152890.89889526367	1.5707524163213458
city	398237	1357957	5365015381	659277495	4218418.274475098	0.03603735177554129
days	3843471	482656	5365015381	659277495	200.33187866210938	0.9785503548930558
president	13691	1297812	5365015381	659277495	5591332.182922363	0.0012963452018889242
