lemma	count	repository
file	32152	Preprint
additional	71947	Preprint
supplementary	117573	Preprint
min	65949	Preprint
data	495465	Preprint
fig	490005	Preprint
mm	113172	Preprint
reads	88790	Preprint
table	175834	Preprint
values	157581	Preprint
set	147852	Preprint
sequences	108054	Preprint
number	254359	Preprint
performed	146580	Preprint
value	112338	Preprint
samples	168797	Preprint
mean	133827	Preprint
total	118530	Preprint
information	109351	Preprint
described	107724	Preprint
including	104738	Preprint
target	100100	Preprint
proteins	149974	Preprint
human	140931	Preprint
changes	117393	Preprint
effects	127977	Preprint
function	146882	Preprint
genetic	116563	Preprint
structure	100899	Preprint
figure	451834	Preprint
studies	146478	Preprint
binding	141949	Preprint
response	137665	Preprint
increased	105992	Preprint
neurons	118342	Preprint
activity	175834	Preprint
et	778415	Preprint
al	773498	Preprint
non	167910	Preprint
mice	129553	Preprint
file	98692	Published
additional	110165	Published
supplementary	134462	Published
min	69779	Published
data	399229	Published
fig	387761	Published
mm	88772	Published
reads	68060	Published
table	132317	Published
values	115514	Published
set	108138	Published
sequences	78464	Published
number	184248	Published
performed	105572	Published
value	80216	Published
samples	119931	Published
mean	95028	Published
total	83298	Published
information	76343	Published
described	75203	Published
including	64489	Published
target	61515	Published
proteins	91737	Published
human	85673	Published
changes	70914	Published
effects	77206	Published
function	88437	Published
genetic	69987	Published
structure	60362	Published
figure	270167	Published
studies	87301	Published
binding	84046	Published
response	81054	Published
increased	61736	Published
neurons	68822	Published
activity	101601	Published
et	446731	Published
al	438016	Published
non	94997	Published
mice	69514	Published
