lemma	corpus_one_a	corpus_two_b	corpus_one_c	corpus_two_d	log_likelihood	odds_ratio
control	9070633	276031	8596698154	1218668568	1067644.3348388672	4.658366657819843
lead	1359132	1043530	8596698154	1218668568	1424626.346496582	0.18463355451034577
dr.	149053	641203	8596698154	1218668568	1949292.888671875	0.03295331484180035
model	8136668	89348	8596698154	1218668568	1543475.0234375	12.9096863863173
want	164878	502140	8596698154	1218668568	1392646.5239868164	0.04654701380168765
addition	4236693	132342	8596698154	1218668568	489139.1586303711	4.538195840707662
level	6607095	200394	8596698154	1218668568	779743.4664916992	4.67390379603912
white	1202454	577389	8596698154	1218668568	484670.56048583984	0.2952255208119036
higher	6967705	181158	8596698154	1218668568	913503.837097168	5.452380671308589
states	1248598	966169	8596698154	1218668568	1327627.9118041992	0.18319915573667797
changes	4224365	162828	8596698154	1218668568	407134.19415283203	3.6777845073111664
cells	23853662	42120	8596698154	1218668568	5874021.703491211	80.28245238712009
associated	6955965	68303	8596698154	1218668568	1359840.6477050781	14.436819969577726
home	715186	805183	8596698154	1218668568	1446451.2752685547	0.1259152520747752
director	35553	548286	8596698154	1218668568	2028979.4051513672	0.009192275413312011
center	1156419	663110	8596698154	1218668568	686214.8155517578	0.24721998344356666
ago	136309	592403	8596698154	1218668568	1805268.473815918	0.03261829185736383
market	205959	539866	8596698154	1218668568	1427948.5647583008	0.05408150007168556
including	4954169	524179	8596698154	1218668568	43878.415954589844	1.3398159119921353
percent	593322	1199380	8596698154	1218668568	2884460.9147338867	0.07012737475333271
week	1239625	782033	8596698154	1218668568	893215.3551025391	0.22470833322039863
law	221732	567920	8596698154	1218668568	1490521.9809570312	0.0553471347508731
following	4546586	118695	8596698154	1218668568	594647.875	5.430088618882746
ms.	2956	957363	8596698154	1218668568	3954514.043273926	0.0004377052165910199
species	4632521	45278	8596698154	1218668568	906830.8452758789	14.50387650940423
found	8047532	469813	8596698154	1218668568	457842.66607666016	2.4282400301241474
obtained	4807957	29724	8596698154	1218668568	1036517.6359863281	22.930168919605684
cell	14466512	39388	8596698154	1218668568	3452972.58392334	52.06595445877215
samples	6202836	17107	8596698154	1218668568	1479581.565612793	51.400858799099446
min	4947283	1852	8596698154	1218668568	1286177.7545166016	378.6863958214543
state	2461307	1251630	8596698154	1218668568	1128463.3220214844	0.27876853614543734
public	1028804	713929	8596698154	1218668568	892594.7072143555	0.20428268266871388
total	6188243	157414	8596698154	1218668568	822483.7115478516	5.572857475915163
compared	8527264	98796	8596698154	1218668568	1592674.5081176758	12.235572059379413
study	20300434	209450	8596698154	1218668568	3914227.869445801	13.739751872489265
bush	12905	465246	8596698154	1218668568	1825758.3986816406	0.003932142903478418
genes	7335919	15385	8596698154	1218668568	1787932.9555664062	67.59443754347947
specific	5745436	67065	8596698154	1218668568	1070920.549987793	12.144537889316528
york	105022	1720583	8596698154	1218668568	6401019.876586914	0.008652838317221311
street	55332	905222	8596698154	1218668568	3367756.657043457	0.008665132337080791
business	73453	660334	8596698154	1218668568	2296926.948364258	0.015768842326190968
low	5703855	233089	8596698154	1218668568	518460.00390625	3.468970684599456
factors	4592930	35766	8596698154	1218668568	947618.5751342773	18.20427493977547
treated	4385512	54863	8596698154	1218668568	800318.3593139648	11.331689962817975
share	362712	597814	8596698154	1218668568	1316824.645324707	0.08601016373885668
day	3491601	896991	8596698154	1218668568	223208.70599365234	0.5518111293884016
national	1305966	718185	8596698154	1218668568	709699.9559936523	0.2577801500092797
based	8697542	367817	8596698154	1218668568	762279.4677734375	3.3521131407449656
shown	8110411	91152	8596698154	1218668568	1528353.0928955078	12.613354232238207
like	2545436	1809044	8596698154	1218668568	2309957.4091186523	0.19946512974602323
money	94989	566013	8596698154	1218668568	1842408.9870605469	0.023790350550478737
analysis	12546247	59351	8596698154	1218668568	2817571.5103149414	29.966755494937093
end	2065223	527968	8596698154	1218668568	129484.03875732422	0.5545149813527575
political	119649	486575	8596698154	1218668568	1459480.4802856445	0.03485886269406864
mean	6178812	111694	8596698154	1218668568	981995.3705444336	7.842040283758603
treatment	9392163	106985	8596698154	1218668568	1762874.7623291016	12.445050461048154
best	1323985	501641	8596698154	1218668568	297245.8156738281	0.37414846834894744
sample	4790248	17059	8596698154	1218668568	1114433.3392333984	39.806900276260905
company	170890	1526628	8596698154	1218668568	5304699.915283203	0.015868554144388633
said	196528	7731501	8596698154	1218668568	30426911.512634277	0.0036034172223640007
mr.	8037	5817946	8596698154	1218668568	24130615.334594727	0.00019582954468320429
set	3502636	464160	8596698154	1218668568	1894.6715087890625	1.0697473698289166
fig	13310282	2541	8596698154	1218668568	3488563.974182129	742.5685020286792
place	709844	525204	8596698154	1218668568	694998.2767333984	0.19159705199325008
showed	6355817	139264	8596698154	1218668568	920095.1213989258	6.469734384938489
response	4997898	110722	8596698154	1218668568	719344.9396972656	6.398930575819358
net	348900	504167	8596698154	1218668568	1041752.4115600586	0.09810259275364984
results	13192663	150633	8596698154	1218668568	2473891.623779297	12.415558911328123
important	4238380	282693	8596698154	1218668568	188542.23602294922	2.1253906647708725
number	8721662	397903	8596698154	1218668568	701550.2416381836	3.1072483798276793
think	268132	550116	8596698154	1218668568	1331063.576538086	0.0690952675610084
american	518306	1227162	8596698154	1218668568	3133284.6041259766	0.05987399952662194
team	519376	532023	8596698154	1218668568	899963.4358520508	0.13839022051012695
health	6392535	403202	8596698154	1218668568	317286.9090576172	2.2475241585799544
court	25583	554296	8596698154	1218668568	2109595.183166504	0.006542800196474362
population	4412016	102628	8596698154	1218668568	618229.5406494141	6.094318465098275
john	79969	569213	8596698154	1218668568	1911375.0653076172	0.019915938975338183
increased	6530384	109599	8596698154	1218668568	1071313.7801513672	8.44668035523287
country	532443	551835	8596698154	1218668568	940693.9231567383	0.13677849207779116
year	1846897	1871127	8596698154	1218668568	3140766.023864746	0.13992436415047632
disease	5089904	110870	8596698154	1218668568	739210.8711547852	6.508028940206774
different	10127073	290725	8596698154	1218668568	1242978.6386108398	4.938050115021599
anti	4292763	114386	8596698154	1218668568	554161.9646606445	5.320077643331474
family	2235394	645942	8596698154	1218668568	221131.65893554688	0.49058525263546593
office	161045	489148	8596698154	1218668568	1355523.932067871	0.046672481837917744
differences	4645050	46777	8596698154	1218668568	902300.1459350586	14.077059934629956
life	2251347	690621	8596698154	1218668568	271910.07794189453	0.4621219420220722
effect	6962991	153898	8596698154	1218668568	1003289.7573852539	6.413820326860938
cancer	5656957	134015	8596698154	1218668568	784404.7742919922	5.983887206236511
et	18120392	7252	8596698154	1218668568	4702046.500549316	354.2123709405597
going	180546	599672	8596698154	1218668568	1705547.4782104492	0.042680355848873995
patients	18263143	126221	8596698154	1218668568	3855503.335998535	20.511519528525156
groups	6334427	227823	8596698154	1218668568	650913.388671875	3.941519694663834
similar	5221324	151846	8596698154	1218668568	635284.3219604492	4.874512845575419
system	5116317	411423	8596698154	1218668568	143976.19982910156	1.7628802411143716
government	308834	803970	8596698154	1218668568	2121487.234741211	0.05445517960719835
performed	7242675	115547	8596698154	1218668568	1212636.5146484375	8.885753375247688
group	11185162	678400	8596698154	1218668568	595893.3594970703	2.337277999435377
risk	5338328	128459	8596698154	1218668568	733578.2055664062	5.891076322160453
al	17451861	132751	8596698154	1218668568	3615353.8272094727	18.636222024017947
called	629649	580434	8596698154	1218668568	913035.4899902344	0.15377991114636536
good	1437700	683489	8596698154	1218668568	566338.0055541992	0.29818835218449224
lower	4652311	197501	8596698154	1218668568	406189.0955810547	3.3392841173502643
come	216766	491133	8596698154	1218668568	1234334.3186645508	0.06256709331147799
little	809648	576238	8596698154	1218668568	737055.6838378906	0.19918117260291726
value	4556063	133258	8596698154	1218668568	552126.7171630859	4.846747128437136
figure	14247402	126440	8596698154	1218668568	2853820.973449707	15.973685260747368
non	6145600	54506	8596698154	1218668568	1231801.8568115234	15.983574503183535
second	2855577	594417	8596698154	1218668568	66650.34478759766	0.6810148554668107
game	158096	635742	8596698154	1218668568	1901593.8439331055	0.035252823767034126
dna	4989564	23160	8596698154	1218668568	1123949.2590332031	30.540628789191217
years	4895243	1796013	8596698154	1218668568	1006467.3285522461	0.38638362350444655
companies	89552	480208	8596698154	1218668568	1531556.9905395508	0.02643624879806331
times	2427010	520838	8596698154	1218668568	67285.60443115234	0.6605760670911465
yesterday	3190	816741	8596698154	1218668568	3366349.8255615234	0.0005536818117725993
west	272974	522574	8596698154	1218668568	1229371.7154541016	0.07405040145273839
case	3302960	464429	8596698154	1218668568	27.0665283203125	1.008179624028973
values	6047939	53681	8596698154	1218668568	1212016.6063842773	15.971317249421379
information	4721439	357144	8596698154	1218668568	157176.83850097656	1.8740663230198353
described	4419142	144832	8596698154	1218668568	491359.8537597656	4.325410805103159
season	340323	544258	8596698154	1218668568	1182060.5958862305	0.08864217654972752
