num_terms	KL_divergence	comparison
100	0.02342986775981615	biorxiv_vs_pmc
100	0.4735376481171504	biorxiv_vs_nytac
100	0.2942103786421131	pmc_vs_nytac
200	0.0375281261599026	biorxiv_vs_pmc
200	0.6391156187244277	biorxiv_vs_nytac
200	0.4591371540084609	pmc_vs_nytac
300	0.04737502587074681	biorxiv_vs_pmc
300	0.7736398414249235	biorxiv_vs_nytac
300	0.5419917346512009	pmc_vs_nytac
400	0.17800469676377195	biorxiv_vs_pmc
400	0.8822628405824056	biorxiv_vs_nytac
400	0.634308683091981	pmc_vs_nytac
500	0.21732211250718797	biorxiv_vs_pmc
500	0.9739895883549983	biorxiv_vs_nytac
500	0.6998955206781002	pmc_vs_nytac
1000	0.3695191770704968	biorxiv_vs_pmc
1000	1.1726747469125927	biorxiv_vs_nytac
1000	0.9317194356642016	pmc_vs_nytac
1500	0.45306747273547365	biorxiv_vs_pmc
1500	1.4825270195175568	biorxiv_vs_nytac
1500	1.1598470091805748	pmc_vs_nytac
2000	0.5894907996179408	biorxiv_vs_pmc
2000	1.622354475593553	biorxiv_vs_nytac
2000	1.3539644945650087	pmc_vs_nytac
3000	0.790801054684898	biorxiv_vs_pmc
3000	1.9405249518453926	biorxiv_vs_nytac
3000	1.5706410685790995	pmc_vs_nytac
5000	1.0938973268388121	biorxiv_vs_pmc
5000	2.2532713580846973	biorxiv_vs_nytac
5000	2.0835464875390866	pmc_vs_nytac
